Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Days in Period,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Unrealized Gains/Losses,Non Operating Gains Losses,Other Non-Operating Revenue,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,Operating Margin,Non-Operating Margin,Total Margin,Average Days in Accounts Receivable,Average Payment Period,Current Ratio,Current Days Cash on Hand,Average Age of Plant,Cash Flow to Total Debt,Debt Service Coverage Ratio,Equity Financing Ratio,Long Term Debt to Total Capitalization
25,Signature Healthcare Brockton Hospital,Acute Hospital,9991,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$52,727,644",,,"$20,499,495",,"$9,361,767","$33,783,527","$116,372,433","$94,214,104",,,,"$362,999,931","$166,389,603","$196,610,328","$43,390,006","$334,214,438","$450,586,871","$7,927,802","$25,271,873",,"$83,443,654","$116,643,329","$97,925,153",,"$7,027,641","$104,952,794","$221,596,123","$214,718,673",,"$14,272,075","$228,990,748","$450,586,871","$134,946,487","$23,862,175","$84,574,078","$2,361,223",,"$378,399","$246,122,362","$2,971,889",,,"$51,537,936","$92,130,681","$146,640,506","$392,762,868","$155,729,859",,"$12,629,248","$3,650,156","$11,000,988","$125,658,842",,"$308,669,093","$84,093,775","($4,134,944)","$4,247,815","$84,206,646","$2,964,064",,"$87,170,710",-15.9%,37.3%,21.4%,55,114,1.0,65,13,45%,8.7,47.7%,31.3%
122,South Shore Hospital,Acute Hospital,12759,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$5,722,374",,"$2,138,039","$108,868,519","$8,600","$3,233,675","$33,233,900","$153,205,107","$247,407,767","$1,205,978",,,"$637,425,767","$403,988,383","$233,437,384","$54,352,087","$536,403,216","$689,608,323","$12,566,303","$3,022,026","$6,687,993","$85,527,581","$107,803,903","$170,746,718",,"$35,685,663","$206,432,381","$314,236,284","$355,436,809",,"$19,935,230","$375,372,039","$689,608,323","$815,143,319",,"$50,074,970",,"$8,694,986","$3,113,012","$877,026,287","$3,072,077","$1,172,134","$28,704,290","$11,338,654","($3,177,526)","$41,109,629","$918,135,916","$496,751,080",,"$28,584,528","$7,709,778","$2,231,117","$362,762,861",,"$898,039,364","$20,096,552",,"$3,125,278","$23,221,830",,,"$23,221,830",-2.3%,4.5%,2.2%,49,44,1.4,2,14,7%,1.4,51.5%,32.5%
3113,Southcoast Hospitals Group,Acute Hospital,4027,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$50,069,685","$2,178,891","$2,337,770","$106,968,678","$35,235,796","$8,347,219","$47,995,593","$253,133,631","$104,419,035","$771,452",,,"$1,006,244,851","$690,344,381","$315,900,469","$484,432,773","$905,523,730","$1,158,657,361","$11,618,336","$5,898,614","$8,478,457","$143,164,791","$169,160,198","$212,636,528",,"$75,297,506","$287,934,034","$457,094,232","$604,545,553","$31,284,730","$65,732,846","$701,563,129","$1,158,657,361","$994,599,492",,"$165,767,704","$24,197,268",,"$3,805,257","$1,188,369,720","$8,988,002","$867,063","$58,679,162","$6,746,655",,"$75,280,882","$1,263,650,602","$549,003,413",,"$55,856,773","$6,999,290","$27,137,819","$470,858,074",,"$1,109,855,369","$153,795,233","($64,148,170)","$28,076","$89,675,140",,,"$89,675,140",6.2%,6.0%,12.2%,39,57,1.5,18,12,40%,8.5,52.2%,26.0%
42,Steward Carney Hospital,Acute Hospital,11273,2024,Dec 31,3,8,"01/01/2024-08/31/2024
",273.75,,,,"$9,060,507","$134,792,516","$8,164,438","$1,990,177","$154,007,637",,,,"$28,214,569","$160,139,978","$33,162,957","$126,977,021","$405,429","$155,597,019","$309,604,657","$11,818,341","$1,557,641","$115,751,527","$20,544,035","$149,671,545","$113,379,960","$37,462,057","$154,088,077","$304,930,094","$454,601,639","($144,996,982)",,,"($144,996,982)","$309,604,657","$45,524,198",,"$13,895,090",,,,"$59,419,287",,,,,,-,"$59,419,287","$40,691,410",,"$3,745,541","$9,114,995",,"$29,581,525",,"$83,133,471","($23,714,184)",,,"($23,714,184)",,,"($23,714,184)",-39.9%,0.0%,-39.9%,54,577,1.0,0,9,-8%,-0.5,-46.8%,-358.6%
8701,Steward Good Samaritan Medical Center,Acute Hospital,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,,,,"$50,993,731","$315,363,702","$6,206,511","$5,068,771","$377,632,715",,,,"$21,967,519","$182,052,470","$60,462,674","$121,589,795","$536,909","$144,094,224","$521,726,939","$16,519,799","$11,358,698","($4,086,788)","$39,807,148","$63,598,858","$109,516,434","$20,412,057","$27,245,520","$157,174,011","$220,772,868","$300,954,070",,,"$300,954,070","$521,726,939","$179,053,782",,"$11,588,885",,,,"$190,642,667",,,,,,-,"$190,642,667","$119,725,091",,"$5,330,266","$10,499,079",,"$84,586,252",,"$220,140,689","($29,498,021)",,,"($29,498,021)",,,"($29,498,021)",-15.5%,0.0%,-15.5%,78,70,5.9,0,11,-14%,-0.5,57.7%,26.7%
75,Steward Holy Family Hospital,Acute Hospital,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,,,,"$30,024,520","($21,237,128)","$8,606,187","$4,508,857","$21,902,436",,,,"$11,626,561","$239,341,525","$63,801,288","$175,540,236","$550,206","$187,717,003","$209,619,440","$21,772,026","$10,332,136","($256,164,445)","$29,036,299","($195,023,983)","$166,140,761","$55,761,775","$123,943,252","$345,845,787","$150,821,804","$58,797,635",,,"$58,797,635","$209,619,440","$132,361,130",,"$12,531,793",,,,"$144,892,923",,,,,,-,"$144,892,923","$100,395,895",,"$7,433,113","$17,552,560",,"$63,609,967",,"$188,991,536","($44,098,612)",,,"($44,098,612)",,,"($44,098,612)",-30.4%,0.0%,-30.4%,62,-343,-0.1,0,9,127%,-0.5,28.0%,73.9%
41,Steward Norwood Hospital,Acute Hospital,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,,,,"($426,289)","$14,549,215","$629,741","$543,107","$15,295,774",,,,"$24,589,392","$54,169,438","$34,111,659","$20,057,779","$496,035","$45,143,207","$60,438,981","$450,257","$4,591,461","($280,446,906)","$5,907,489","($269,497,700)","$5,504,807","$11,287,543","$109,395,530","$126,187,880","($143,309,819)","$203,748,800",,,"$203,748,800","$60,438,981","$10,720,738",,"($1,378,089)",,,,"$9,342,649",,,,,,-,"$9,342,649","$6,475,805",,"$738,841","$1,603,391",,"$11,611,748",,"$20,429,784","($11,087,135)",,,"($11,087,135)",,,"($11,087,135)",-118.7%,0.0%,-118.7%,-11,-4148,-0.1,0,46,4%,-4.3,337.1%,2.6%
114,Steward Saint Anne's Hospital,Acute Hospital,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,,,,"$46,993,705","$319,665,591","$3,432,750","$3,583,421","$373,675,466",,,,"$12,099,932","$165,585,020","$66,663,056","$98,921,964","$2,182,408","$113,204,304","$486,879,770","$12,520,614","$4,437,554","($66,881,561)","$23,515,491","($26,407,901)","$83,878,047","($14,014,472)","$24,865,868","$94,729,442","$68,321,541","$418,558,229",,,"$418,558,229","$486,879,770","$216,385,610",,"$7,867,567",,,,"$224,253,176",,,,,,-,"$224,253,176","$91,620,361",,"$5,561,559","$7,891,509",,"$124,523,988",,"$229,597,418","($5,344,242)",,,"($5,344,242)",,,"($5,344,242)",-2.4%,0.0%,-2.4%,59,-39,-14.2,0,12,0%,0.4,86.0%,16.7%
126,Steward St. Elizabeth's Medical Center,Acute Hospital,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,"$14,732",,,"$45,467,170","$259,177,228","$3,884,393","$10,753,168","$319,296,692",,,,"$126,551,913","$352,386,925","$100,658,448","$251,728,477","$719,492","$378,999,882","$698,296,574","$28,261,903","$10,442,231","$246,400,758","$40,423,877","$325,528,769","$208,016,680","$32,701,288","$48,056,462","$288,774,430","$614,303,198","$83,993,375",,,"$83,993,375","$698,296,574","$220,634,289",,"$20,724,472",,,,"$241,358,761",,,,,,-,"$241,358,761","$159,594,707",,"$12,310,813","$21,102,067",,"$116,788,311",,"$309,795,898","($68,437,137)",,,"($68,437,137)",,,"($68,437,137)",-28.4%,0.0%,-28.4%,56,312,1.0,0,8,-11%,-0.7,12.0%,71.2%
129,Sturdy Memorial Hospital,Acute Hospital,12773,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$26,514,247",,,"$29,181,523","$13,583","$265,194","$9,815,898","$65,790,445","$36,660,346",,,,"$258,945,269","$155,270,382","$103,674,887","$454,760,803","$595,096,036","$660,886,481",,,"$225,736","$36,089,150","$36,314,886","$48,898,750",,"$18,154,373","$67,053,123","$103,368,009","$557,495,881","$22,591",,"$557,518,472","$660,886,481","$246,526,011",,"$15,168,407",,,,"$261,694,418","$23,996,100",,,"$39,183,216","$276,764","$63,456,080","$325,150,498","$151,813,120",,"$11,720,120",,"$3,119,076","$96,132,133",,"$262,784,449","$62,366,049","($18,076,962)","$3,013,040","$47,302,127","$14,387,300",,"$61,689,427",-0.3%,19.5%,19.2%,43,53,1.8,39,13,87%,,84.4%,8.1%
104,Tufts Medical Center,Acute Hospital,12775,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$38,689,000","$36,000,000","$17,676,000","$141,173,000","$13,527,000","$13,031,000","$72,112,000","$332,208,000","$32,337,000",,,"$803,000","$874,257,000","$525,220,000","$349,037,000","$234,811,000","$616,988,000","$949,196,000","$18,163,000","$7,169,000","$120,236,000","$127,659,000","$273,227,000","$818,545,000",,"$78,586,000","$897,131,000","$1,170,358,000","($238,337,000)","$9,442,000","$7,733,000","($221,162,000)","$949,196,000","$1,016,338,000",,"$314,661,000",,,"$2,778,000","$1,333,777,000","$22,409,000","($4,636,000)","$6,722,000",,"($2,307,000)","$22,188,000","$1,355,965,000","$573,296,000",,"$38,378,000","$23,493,000","$56,629,000","$662,807,000",,"$1,354,603,000","$1,362,000","($414,376,000)",,"($413,014,000)","($5,935,000)",,"($418,949,000)",-1.5%,1.6%,0.1%,51,75,1.2,21,14,3%,1.4,-25.1%,141.1%
3115,UMass Memorial Medical Center,Acute Hospital,6755,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$26,816,000",,,"$293,048,000","$346,304,000","$66,567,000","$79,969,000","$812,704,000",,,,,"$1,167,619,000","$713,347,000","$454,272,000","$283,956,000","$738,228,000","$1,550,932,000",,"$7,757,000","$417,296,000","$467,287,000","$892,340,000",,"$276,682,000","$57,131,000","$333,813,000","$1,226,153,000","$247,819,000","$48,332,000","$28,627,000","$324,778,000","$1,550,931,000","$2,834,770,000",,"$109,545,000",,,"$3,130,000","$2,947,445,000","$7,702,000","$2,010,000",,"$10,228,000",,"$19,940,000","$2,967,385,000","$984,368,000",,"$67,074,000","$20,286,000","$62,680,000","$1,755,840,000",,"$2,890,248,000","$77,137,000","($25,547,000)","$34,000","$51,624,000",,,"$51,624,000",1.9%,0.7%,2.6%,38,115,0.9,3,11,16%,8.1,16.0%,0.0%
138,Winchester Hospital,Acute Hospital,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$1,838,000","$232,520,000",,"$43,198,000",,,"$88,660,000","$366,216,000","$32,021,000",,,,"$284,279,000","$167,162,000","$117,117,000","$39,429,000","$188,567,000","$554,783,000","$3,465,000",,,"$46,543,000","$50,008,000","$66,557,000",,"$13,989,000","$80,546,000","$130,554,000","$392,828,000","$21,013,000","$10,388,000","$424,229,000","$554,783,000","$369,918,000",,"$27,288,000",,,,"$397,206,000","$16,311,000",,"$19,774,000","($202,000)",,"$35,883,000","$433,089,000","$168,238,000",,"$17,937,000","$2,310,000","$9,673,000","$168,818,000",,"$366,976,000","$66,113,000",,"$855,000","$66,968,000",,,"$66,968,000",7.0%,8.3%,15.3%,43,53,7.3,245,9,55%,11.5,70.8%,14.5%
11490,Baystate Medical Practice,Physician Organization,4066,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$217,581,000",,"$226,315,000",,,"$943,000","$444,839,000",,,,"($67,757,000)",,"($67,757,000)","$377,082,000","$405,015,000",,"$1,595,000","($4,000)",,"$127,235,000",,"$533,841,000","($156,759,000)","$75,000,000","$33,000","($81,726,000)","$73,564,000",,"($8,162,000)",-23.6%,-18.0%,-41.6%,,,,,,,,,
11794,Berkshire Faculty Services,Physician Organization,3106,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$51,021,864","$1,487,319","$5,869,361",,,,"$58,378,544",,,,,,-,"$58,378,544","$66,688,091",,,,,"$22,967,608",,"$89,655,699","($31,277,155)","$31,277,155",,,,,-,-53.6%,0.0%,-53.6%,,,,,,,,,
12118,Berkshire Orthopaedic Associates,Physician Organization,3106,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$10,445,404",,"$84,789",,,,"$10,530,193",,,,,,-,"$10,530,193","$12,188,921",,,,,"$2,314,505",,"$14,503,426","($3,973,233)",,,"($3,973,233)",,,"($3,973,233)",-37.7%,0.0%,-37.7%,,,,,,,,,
14418,BMC Faculty Practice Foundation,Physician Organization,14287,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$197,729,725","$4,600,558","$314,485,998",,,,"$516,816,281","$1,908,085","($28,850)","$3,796,881","$609,477",,"$6,285,593","$523,101,874","$467,261,000",,"$603,441","$6,576",,"$67,212,000",,"$535,083,017","($11,981,143)","$12,789,279",,"$808,136",,,"$808,136",-3.5%,1.2%,-2.3%,,,,,,,,,
13198,Boston University Affiliated Physicians,Physician Organization,14287,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$92,048",,"$377,383",,,,"$469,431",,,,,,-,"$469,431","$438,421",,,,,"$41,791",,"$480,212","($10,781)",,,"($10,781)",,,"($10,781)",-2.3%,0.0%,-2.3%,,,,,,,,,
10996,Brigham and Women's Physicians Organization,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$931,829,000",,"$347,066,000",,,,"$1,278,895,000","$22,841,000",,"$59,581,000",,"$7,000","$82,429,000","$1,361,324,000","$1,036,229,000",,"$6,733,000","$1,188,000",,"$198,308,000",,"$1,242,458,000","$118,866,000","$6,682,000","$136,000","$125,684,000",,,"$125,684,000",2.7%,6.1%,8.7%,,,,,,,,,
9323,CD Practice Associates,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$64,256,000",,"$15,029,000",,,,"$79,285,000",,,,,,-,"$79,285,000","$78,817,000",,"$92,000",,,"$25,986,000",,"$104,895,000","($25,610,000)","$24,260,000",,"($1,350,000)",,,"($1,350,000)",-32.3%,0.0%,-32.3%,,,,,,,,,
14420,Circle Health Physicians Inc,Physician Organization,12775,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$60,442,000",,"$12,032,000",,,,"$72,474,000",,,,,,-,"$72,474,000","$66,804,000",,"$391,000",,,"$26,385,000",,"$93,580,000","($21,106,000)","$70,664,000",,"$49,558,000",,,"$49,558,000",-29.1%,0.0%,-29.1%,,,,,,,,,
13120,"Coastal Medical Associates, Inc",Physician Organization,12759,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$90,952,737",,"$11,772,598",,,,"$102,725,335",,,$701,,,$701,"$102,726,036","$77,568,168",,"$2,272,420","$1,913,002",,"$35,718,985",,"$117,472,575","($14,746,539)",,,"($14,746,539)",,,"($14,746,539)",-14.4%,0.0%,-14.4%,,,,,,,,,
13118,"Community Medical Associates, Inc.",Physician Organization,13156,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$5,119,000",,"$186,000",,,,"$5,305,000",,,,,,-,"$5,305,000","$6,996,000",,"$184,000",,,"$3,127,000",,"$10,307,000","($5,002,000)",,,"($5,002,000)",,,"($5,002,000)",-94.3%,0.0%,-94.3%,,,,,,,,,
11761,Community Physicians Associates,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$4,985,000",,"$43,000",,,,"$5,028,000",,,,,,-,"$5,028,000","$5,647,000",,"$9,000",,,"$2,194,000",,"$7,850,000","($2,822,000)","$2,822,000",,,,,-,-56.1%,0.0%,-56.1%,,,,,,,,,
7895,Hallmark Health Medical Associates,Physician Organization,12775,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$42,285,000",,"$12,794,000",,,,"$55,079,000",,,,,,-,"$55,079,000","$54,147,000",,"$339,000",,,"$13,242,000",,"$67,728,000","($12,649,000)","$15,440,000",,"$2,791,000",,,"$2,791,000",-23.0%,0.0%,-23.0%,,,,,,,,,
9914,Harvard Medical Faculty Physicians,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$463,769,000",,"$482,622,000",,,,"$946,391,000","$8,759,000",,"$26,480,000","$2,759,000",,"$37,998,000","$984,389,000","$861,481,000",,"$1,498,000",,,"$94,214,000",,"$957,193,000","$27,196,000",,,"$27,196,000",,,"$27,196,000",-1.1%,3.9%,2.8%,,,,,,,,,
10976,Heywood Medical Group,Physician Organization,12807,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$5,372,885",,"$1,549,182",,,,"$6,922,067",,,,,,-,"$6,922,067","$11,678,414",,"$55,692","$7,441",,"($838,223)",,"$10,903,324","($3,981,257)","($4,599,172)",,"($8,580,429)",,,"($8,580,429)",-57.5%,0.0%,-57.5%,,,,,,,,,
12037,"Jordan Physician Associates, Inc",Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$37,004,000",,"$4,968,000",,,,"$41,972,000",,,,,,-,"$41,972,000","$46,469,000",,"$458,000",,,"$11,497,000",,"$58,424,000","($16,452,000)","$16,452,000",,,,,-,-39.2%,0.0%,-39.2%,,,,,,,,,
14421,Lahey Clinic,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$322,742,000",,"$47,503,000",,,,"$370,245,000","$307,000",,,"($4,573,000)",,"($4,266,000)","$365,979,000","$408,225,000",,"$5,580,000","$189,000",,"$28,588,000",,"$442,582,000","($76,603,000)","$72,453,000",,"($4,150,000)",,,"($4,150,000)",-19.8%,-1.2%,-20.9%,,,,,,,,,
14422,Lahey Physician Community Org,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$18,473,000",,"$1,337,000",,,,"$19,810,000",,,,,,-,"$19,810,000","$21,793,000",,"$730,000",,,"$7,759,000",,"$30,282,000","($10,472,000)",,,"($10,472,000)",,,"($10,472,000)",-52.9%,0.0%,-52.9%,,,,,,,,,
14423,"Massachusetts Eye and Ear Associates, Inc",Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$169,264,000",,"$29,093,000",,,,"$198,357,000","$8,137,000",,"($4,061,000)",,"($6,000)","$4,070,000","$202,427,000","$165,125,000",,"$679,000","$2,000",,"$26,879,000",,"$192,685,000","$9,742,000","$145,000",,"$9,887,000",,,"$9,887,000",2.8%,2.0%,4.8%,,,,,,,,,
11002,Massachusetts General Hospital Physicians Organization,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$1,102,343,000",,"$546,368,000",,,,"$1,648,711,000","$37,258,000",,"$74,537,000",,"($16,000)","$111,779,000","$1,760,490,000","$1,341,805,000",,"$19,800,000","$1,680,000",,"$241,806,000",,"$1,605,091,000","$155,399,000","$3,129,000",,"$158,528,000","($816,000)",,"$157,712,000",2.5%,6.3%,8.8%,,,,,,,,,
11810,Medical Affiliates of Cape Cod Inc,Physician Organization,3109,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$100,555,158",,"$2,232,444",,,,"$102,787,602",,,,,,-,"$102,787,602","$108,887,198",,"$365,048",,,"$30,810,935",,"$140,063,181","($37,275,579)","$36,957,444",,"($318,135)",,,"($318,135)",-36.3%,0.0%,-36.3%,,,,,,,,,
12151,"Mercy Inpatient Medical Associates, Inc",Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$9,752,552","$8,768","$8,922,516",,,,"$18,683,836",,,,,,-,"$18,683,836","$21,067,840","$783,877","$6,992",,,"$1,025,383",,"$22,884,092","($4,200,256)",,,"($4,200,256)",,,"($4,200,256)",-22.5%,0.0%,-22.5%,,,,,,,,,
14424,"Mercy Medical Group,Inc.",Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$3,003,018","$4,748","$2,277,040",,,,"$5,284,806",,,,,,-,"$5,284,806","$1,993,108","$4,244,343",,$3,,"$2,923,687","$6,807,242","$15,968,383","($10,683,577)",,,"($10,683,577)",,,"($10,683,577)",-202.2%,0.0%,-202.2%,,,,,,,,,
14425,Mercy Specialist Physicians,Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$217,961",($225),"$174,443",,,,"$392,179",,,,,,-,"$392,179",,"$179,396",,,,"$195,373",,"$374,769","$17,410",,,"$17,410",,,"$17,410",4.4%,0.0%,4.4%,,,,,,,,,
11394,MetroWest Physicians Services,Physician Organization,3888,2024,Dec 31,5,12,"01/01/2024-12/31/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$7,400,000",,,,,,"$7,400,000",,,,,,-,"$7,400,000","$8,200,000",,,,,"$1,800,000",,"$10,000,000","($2,600,000)",,,"($2,600,000)",,,"($2,600,000)",-35.1%,0.0%,-35.1%,,,,,,,,,
8750,Milford Regional Physician Group,Physician Organization,13157,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$98,973,046",,"$18,807,420",,,,"$117,780,466",,,,"($2,144)",,"($2,144)","$117,778,322","$95,009,480",,"$990,148","$274,027",,"$31,505,162",,"$127,778,817","($10,000,495)","$10,276,401",,"$275,906",,,"$275,906",-8.5%,0.0%,-8.5%,,,,,,,,,
11404,Mount Auburn Professional Services,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$73,314,000",,"$14,389,000",,,,"$87,703,000",,,,"$1,436,000",,"$1,436,000","$89,139,000","$89,910,000",,"$939,000",,,"$37,157,000",,"$128,006,000","($38,867,000)",,,"($38,867,000)",,,"($38,867,000)",-45.2%,1.6%,-43.6%,,,,,,,,,
16579,Nantucket Physician Organization,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$1,423,000",,"$662,000",,,,"$2,085,000",,,,,,-,"$2,085,000",,,,,,"$1,307,000",,"$1,307,000","$778,000","($2,764,000)",,"($1,986,000)",,,"($1,986,000)",37.3%,0.0%,37.3%,,,,,,,,,
8655,New England Baptist Medical Associates,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,965,000",,"$81,000",,,,"$13,046,000",,,,,,-,"$13,046,000","$16,981,000",,"$37,000",,,"$1,767,000",,"$18,785,000","($5,739,000)",,,"($5,739,000)",,,"($5,739,000)",-44.0%,0.0%,-44.0%,,,,,,,,,
8644,Newton-Wellesley Physician Hospital Group,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$96,421,000",,"$35,825,000",,,,"$132,246,000","$137,000",,,,,"$137,000","$132,383,000","$102,598,000",,"$1,483,000",,,"$42,051,000",,"$146,132,000","($13,749,000)","$13,500,000",,"($249,000)",,,"($249,000)",-10.5%,0.1%,-10.4%,,,,,,,,,
11004,North Shore Physicians Group,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$185,537,000",,"$47,588,000",,,,"$233,125,000","($12,419,000)",,"$11,736,000",,"($4,000)","($687,000)","$232,438,000","$215,393,000",,"$2,504,000","$13,000",,"$43,873,000",,"$261,783,000","($29,345,000)","$16,023,000",,"($13,322,000)",,,"($13,322,000)",-12.3%,-0.3%,-12.6%,,,,,,,,,
