Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Days in Period,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Unrealized Gains/Losses,Non Operating Gains Losses,Other Non-Operating Revenue,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,Operating Margin,Non-Operating Margin,Total Margin,Average Days in Accounts Receivable,Average Payment Period,Current Ratio,Current Days Cash on Hand,Average Age of Plant,Cash Flow to Total Debt,Debt Service Coverage Ratio,Equity Financing Ratio,Long Term Debt to Total Capitalization
3111,Melrose-Wakefield Healthcare,Acute Hospital,12775,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$1,374,000",,,"$28,883,000","$5,470,000","$7,373,000","$9,833,000","$52,933,000","$23,221,000",,,"$2,157,000","$545,106,000","$428,524,000","$116,582,000","$12,333,000","$154,293,000","$207,226,000","$20,628,000","$3,119,000","$13,281,000","$29,967,000","$66,995,000","$6,991,000",,"$7,366,000","$14,357,000","$81,352,000","$102,653,000","$6,017,000","$17,204,000","$125,874,000","$207,226,000","$238,660,000",,"$23,804,000",,,"$905,000","$263,369,000","$838,000","($360,000)",,,"$5,715,000","$6,193,000","$269,562,000","$158,336,000",,"$15,964,000","$6,825,000","$4,337,000","$99,581,000",,"$285,043,000","($15,481,000)","$76,811,000","$622,000","$61,952,000",,,"$61,952,000",-8.0%,2.3%,-5.7%,44,89,0.8,2,27,1%,0.3,49.5%,6.4%
6547,Mercy Medical Center,Acute Hospital,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,"$51,279","$24,159",,"$39,010,942","$81,811,789",,"$19,974,401","$140,872,570","$3,633,727","$52,044",,,"$70,234,865","$42,947,319","$27,287,546","$31,436,116","$62,409,433","$203,282,003","$2,088,097","$6,325,103","$30,654,924","$25,926,191","$64,994,315","$99,793,332",,"$827,070","$100,620,402","$165,614,717","$33,981,515","$2,954,729","$731,042","$37,667,286","$203,282,003","$288,443,497",,"$33,114,455",,"$3,267,533","$89,913","$324,915,398","$136,518","$388,547",,"($561,178)",,"($36,113)","$324,879,285","$102,795,362","$10,530,345","$12,700,864","$4,066,856","$9,521,514","$177,258,270","$37,767,817","$354,641,028","($29,761,743)","($3,961,145)","$660,373","($33,062,515)",,,"($33,062,515)",-9.1%,0.0%,-9.2%,49,63,2.2,0,3,-10%,-2.1,16.7%,74.6%
3110,MetroWest Medical Center,Acute Hospital,3888,2024,Dec 31,5,12,"01/01/2024-12/31/2024
",365,,,,"$31,100,000",,,"$67,500,000","$98,600,000",,,,"$3,200,000","$121,000,000","$71,500,000","$49,500,000","$148,700,000","$201,400,000","$300,000,000","$200,000",,,"$72,100,000","$72,300,000",,"$344,100,000","$1,500,000","$345,600,000","$417,900,000","($117,900,000)",,,"($117,900,000)","$300,000,000","$188,300,000",,,,,,"$188,300,000",,,,"$1,100,000",,"$1,100,000","$189,400,000","$109,400,000",,"$8,600,000","$300,000",,"$93,500,000",,"$211,800,000","($22,400,000)",,,"($22,400,000)",,,"($22,400,000)",-12.4%,0.6%,-11.8%,60,130,1.4,0,8,-19%,-27.0,-39.3%,0.0%
97,Milford Regional Medical Center,Acute Hospital,13157,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$9,053,235","$14,062,446","$2,386,114","$28,150,157",,,"$8,039,942","$61,691,894","$25,681,333","$6,677,225",,,"$267,609,639","$141,473,853","$126,135,786","$17,018,379","$175,512,723","$237,204,617","$5,204,259","$8,763,717",,"$33,359,945","$47,327,921","$95,051,865",,"$17,753,126","$112,804,991","$160,132,912","$71,743,354",,"$5,328,351","$77,071,705","$237,204,617","$280,214,468",,"$9,290,455",,"$855,278",,"$290,360,201","$2,432,032","$768,253","$3,563,648","($60,303)",,"$6,703,630","$297,063,831","$157,759,213",,"$11,216,733","$4,881,312","$5,532,372","$117,844,064","$4,279,737","$301,513,431","($4,449,600)","($10,276,401)","$966,616","($13,759,385)",,,"($13,759,385)",-3.8%,2.3%,-1.5%,37,49,1.3,29,13,2%,0.8,30.2%,57.0%
99,Morton Hospital,Acute Hospital,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,,,,"$29,702,546","$16,171,392","$3,825,378","$3,374,558","$53,073,874",,,,"$16,781,052","$127,633,687","$38,006,866","$89,626,821","$1,275,612","$107,683,485","$160,757,358","$10,650,398","$2,836,054","$48,938,848","$23,615,358","$86,040,658","$75,338,747","($23,290,529)","$20,418,699","$72,466,917","$158,507,575","$2,249,783",,,"$2,249,783","$160,757,358","$113,456,520",,"$6,753,576",,,,"$120,210,096",,,,,,-,"$120,210,096","$76,051,581",,"$4,197,369","$7,236,266",,"$42,370,244",,"$129,855,461","($9,645,365)",,,"($9,645,365)",,,"($9,645,365)",-8.0%,0.0%,-8.0%,72,192,0.6,0,9,-3%,0.1,1.4%,97.1%
100,Mount Auburn Hospital,Acute Hospital,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$276,000","$114,503,000",,"$36,493,000",,,"$8,229,000","$159,501,000","$19,496,000",,,,"$637,265,000","$481,233,000","$156,032,000","$74,828,000","$250,356,000","$409,857,000","$9,065,000",,,"$102,146,000","$111,211,000","$68,471,000",,"$29,487,000","$97,958,000","$209,169,000","$181,192,000","$8,112,000","$11,384,000","$200,688,000","$409,857,000","$330,101,000",,"$24,359,000",,,,"$354,460,000","$2,035,000",,"$22,383,000",,,"$24,418,000","$378,878,000","$165,121,000",,"$24,909,000","$2,978,000","$7,239,000","$170,362,000",,"$370,609,000","$8,269,000",,"$2,713,000","$10,982,000","($54,000)",,"$10,928,000",-4.3%,6.4%,2.2%,40,118,1.4,121,19,6%,1.1,44.2%,27.4%
101,Nantucket Cottage Hospital,Acute Hospital,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$15,331,000","($12,100,000)","$5,553,000","$9,217,000","$4,174,000","$305,000","$3,176,000","$25,656,000","$6,474,000","$2,824,000",,,"$146,182,000","$45,873,000","$100,309,000","$39,862,000","$149,469,000","$175,125,000","$98,000","$149,000",,"$4,814,000","$5,061,000","$1,604,000",,"$1,450,000","$3,054,000","$8,115,000","$124,925,000","$42,085,000",,"$167,010,000","$175,125,000","$75,847,000",,"$12,470,000",,,,"$88,317,000","$6,420,000","$1,643,000","($5,660,000)",,"$3,608,000","$6,011,000","$94,328,000","$48,436,000",,"$6,556,000","$102,000","$196,000","$40,007,000",,"$95,297,000","($969,000)","$2,927,000","$4,247,000","$6,205,000","$6,000",,"$6,211,000",-7.4%,6.4%,-1.0%,44,20,5.1,13,7,169%,56.7,71.3%,1.3%
11467,Nashoba Valley Medical Center,Acute Hospital,11273,2024,Dec 31,3,8,"01/01/2024-08/31/2024
",273.75,,,,"$9,837,259","$11,410,918","$737,283","$1,516,002","$23,501,462",,,,"$1,456,015","$44,392,342","$13,909,850","$30,482,492",,"$31,938,507","$55,439,969","$3,036,400","$1,379,817","($59,790,063)","$9,999,319","($45,374,528)","$28,365,418","$29,833,377","$50,988,916","$109,187,712","$63,813,184","($8,373,215)",,,"($8,373,215)","$55,439,969","$36,603,782",,"$1,765,092",,,,"$38,368,873",,,,,,-,"$38,368,873","$23,826,228",,"$1,150,202","$2,127,359",,"$17,110,844",,"$44,214,633","($5,845,759)",,,"($5,845,759)",,,"($5,845,759)",-15.2%,0.0%,-15.2%,74,-313,-0.5,0,12,28%,-0.5,-15.1%,141.9%
103,New England Baptist Hospital,Acute Hospital,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$27,000","$82,153,000",,"$28,524,000",,,"$15,719,000","$126,423,000","$35,134,000",,,,"$292,400,000","$210,020,000","$82,380,000","$31,524,000","$149,038,000","$275,461,000","$2,175,000",,,"$28,683,000","$30,858,000","$38,770,000",,"$26,254,000","$65,024,000","$95,882,000","$144,445,000","$14,750,000","$20,384,000","$179,579,000","$275,461,000","$200,955,000",,"$22,586,000",,,,"$223,541,000","$261,000",,"$6,517,000","($25,000)",,"$6,753,000","$230,294,000","$96,367,000",,"$9,597,000","$1,451,000","$5,643,000","$129,514,000",,"$242,572,000","($12,278,000)",,,"($12,278,000)","$936,000",,"($11,342,000)",-8.3%,2.9%,-5.3%,52,49,4.1,129,22,-13%,-2.1,52.4%,21.2%
105,Newton-Wellesley Hospital,Acute Hospital,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$8,505,000","$115,642,000","$31,818,000","$72,697,000",,"$2,159,000","$11,925,000","$242,746,000","$55,475,000","$3,837,000",,,"$666,540,000","$398,474,000","$268,066,000","$135,454,000","$462,832,000","$705,578,000","$25,143,000","$10,890,000","$36,750,000","$63,500,000","$136,283,000","$194,683,000",,"$43,244,000","$237,927,000","$374,210,000","$217,696,000","$113,672,000",,"$331,368,000","$705,578,000","$720,391,000",,"$32,933,000",,,,"$753,324,000","$53,556,000","($3,133,000)","($24,342,000)",,"($10,864,000)","$15,217,000","$768,541,000","$377,774,000",,"$37,057,000","$7,104,000","$4,514,000","$316,933,000",,"$743,382,000","$25,159,000","($10,720,000)","$1,868,000","$16,307,000","$1,833,000",,"$18,140,000",1.3%,2.0%,3.3%,37,65,1.8,64,11,26%,2.9,30.9%,47.2%
21965,North Adams Regional Hospital,Acute Hospital,3106,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"($19,854)",,,"$10,123,800",,,"$792,396","$10,896,342","$345,944",,,,"$30,375,942","$12,304,831","$18,071,111","$76,549","$18,493,604","$29,389,946",,"$1,894,803","$29,874,737","$2,455,217","$34,224,757",,,"$951,495","$951,495","$35,176,252","($5,796,306)","$10,000",,"($5,786,306)","$29,389,946","$19,996,010",,"$232,704",,,,"$20,228,714",,,,,,-,"$20,228,714","$9,923,976",,"$1,222,692",,,"$14,878,352",,"$26,025,020","($5,796,306)",,,"($5,796,306)",,,"($5,796,306)",-28.7%,0.0%,-28.7%,185,476,0.3,0,10,-13%,,-19.7%,0.0%
345,North Shore Medical Center,Acute Hospital,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"$34,935,000","$10,096,000","$22,624,000","$65,181,000",,"$6,484,000","$10,140,000","$149,460,000","$56,392,000","$1,039,000",,,"$697,168,000","$341,024,000","$356,144,000","$73,350,000","$486,925,000","$636,385,000","$16,948,000","$1,690,000","$31,018,000","$52,065,000","$101,721,000","$200,101,000",,"$17,145,000","$217,246,000","$318,967,000","$261,681,000","$55,737,000",,"$317,418,000","$636,385,000","$578,999,000",,"$55,440,000",,,,"$634,439,000","$8,009,000","($1,070,000)","$7,795,000",,"($4,736,000)","$9,998,000","$644,437,000","$349,497,000",,"$40,477,000","$8,882,000","$2,569,000","$249,071,000",,"$650,496,000","($6,059,000)","($14,233,000)","$6,547,000","($13,745,000)","$1,463,000",,"($12,282,000)",-2.5%,1.6%,-0.9%,41,61,1.5,27,8,9%,1.4,41.1%,43.3%
3112,Northeast Hospital,Acute Hospital,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,"($41,000)","$249,257,000",,"$54,636,000",,,"$61,558,000","$365,410,000","$24,399,000",,,,"$436,105,000","$320,895,000","$115,210,000","$12,270,000","$151,879,000","$517,289,000","$3,815",,,"$62,850,185","$62,854,000","$64,083,000",,"$43,822,000","$107,905,000","$170,759,000","$316,627,000","$17,681,000","$12,222,000","$346,530,000","$517,289,000","$436,837,000",,"$94,748,000",,,,"$531,585,000","$5,042,000",,"$34,366,000","($5,331,000)",,"$34,077,000","$565,662,000","$235,207,000",,"$15,621,000","$1,751,000","$9,345,000","$232,530,000",,"$494,454,000","$71,208,000","($27,827,000)","$100,000","$43,481,000","($1,340,000)",,"$42,141,000",6.6%,6.0%,12.6%,46,48,5.8,190,21,41%,30.9,61.2%,16.8%
127,Saint Vincent Hospital,Acute Hospital,3888,2024,Dec 31,5,12,"01/01/2024-12/31/2024
",365,,,,"$57,900,000",,,"$24,600,000","$82,500,000",,,,"$3,500,000","$414,300,000","$156,900,000","$257,400,000","$12,200,000","$273,100,000","$355,600,000","$500,000",,,"$30,200,000","$30,700,000",,"$55,300,000","$4,400,000","$59,700,000","$90,400,000","$265,200,000",,,"$265,200,000","$355,600,000","$426,200,000",,,,,,"$426,200,000",,,,,,-,"$426,200,000","$169,700,000",,"$15,300,000","$300,000",,"$238,600,000",,"$423,900,000","$2,300,000",,,"$2,300,000",,,"$2,300,000",0.5%,0.0%,0.5%,50,27,2.7,0,10,57%,22.4,74.6%,0.0%
6963,Shriners Hospitals for Children Boston,Acute Hospital,13158,2024,Dec 31,5,12,"01/01/2024-12/31/2024
",365,"$132,331",,,"$1,819,000","$20,234",,"$669,213","$2,640,778",,,,,"$126,912,024","$87,312,887","$39,599,137",,"$39,599,137","$42,239,915",,,,"$4,708,625","$4,708,625",,,"$53,962","$53,962","$4,762,587","$37,477,000",,,"$37,477,000","$42,239,587","$4,734,356",,"$6,679,495",,,,"$11,413,851",,,,"$29,289,000",,"$29,289,000","$40,702,851","$18,591,358",,"$3,583,609",,"$205,384","$20,412,873",,"$42,793,224","($2,090,373)",,,"($2,090,373)",,,"($2,090,373)",-77.1%,72.0%,-5.1%,140,44,0.6,1,24,32%,,88.7%,0.0%
